training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
23.620182,0.61359566,0.038321123,0.3570845,-22.623375,22.623375,0.6468243,-0.3729009,-22.655401,-24.26575,9.793362,-9.218418,114.23932,0.018735037088394167,93.67518782615662,5000
40.833252,0.54239476,0.03321687,0.321704,-39.958687,39.958687,0.628322,-1.8090237,-40.010094,-43.31586,9.617541,-8.4318075,115.65044,0.0016890352725982666,102.12036776542664,10000
53.676403,0.5022671,0.025661787,0.30206993,-52.91752,52.91752,0.9371859,0.014979295,-52.95894,-60.610836,9.65626,-8.751882,114.78011,0.0016837677955627442,110.53921008110046,15000
61.08479,0.49131054,0.028074283,0.30978757,-60.312737,60.312737,1.5847657,-0.14150092,-60.46318,-74.49971,35.344555,-33.887035,303.598,0.00195127272605896,120.29557943344116,20000
69.28527,0.47960454,0.029589552,0.27146694,-68.50977,68.50977,1.4147162,-0.077458344,-68.702515,-85.29745,21.652655,-23.571325,216.90804,0.002018334722518921,130.3872561454773,25000
74.56386,0.50164413,0.031559348,0.27571905,-73.74662,73.74662,1.4731374,-2.638137,-73.95845,-93.678696,7.8293962,-6.302197,72.24064,0.0019890142917633057,140.33233094215393,30000
76.57906,0.4928608,0.03010732,0.26220524,-75.785126,75.785126,1.2448664,0.5384871,-75.93431,-101.35074,7.3552737,-6.756902,77.18499,0.00200497989654541,150.3572380542755,35000
83.08175,0.46446082,0.026885103,0.26907846,-82.348434,82.348434,0.48673695,0.10054965,-82.4995,-108.99923,0.9365122,-1.0139308,24.68624,0.001997032690048218,160.3424048423767,40000
81.42572,0.4777447,0.033992175,0.26267993,-80.608055,80.608055,1.0029538,0.21853423,-80.85298,-109.63657,12.060135,-8.461461,98.11584,0.005249281549453736,186.5888328552246,45000
86.10911,0.48615324,0.027842809,0.2638657,-85.34453,85.34453,0.84766585,0.5179096,-85.433685,-114.56349,2.8738687,-4.5997324,56.137302,0.010263148069381714,237.90461254119873,50000
85.7403,0.42871153,0.02846325,0.23611414,-85.02696,85.02696,1.3465072,-0.035233572,-85.16284,-117.70214,17.265965,-21.230598,150.96852,0.009970581388473511,287.75755763053894,55000
86.67401,0.41639167,0.025228221,0.24151291,-86.00534,86.00534,0.6619063,0.3318068,-86.20053,-112.55137,1.0385016,-1.9380484,29.808233,0.009930633068084716,337.41075897216797,60000
84.72146,0.44276595,0.029240424,0.21884495,-83.98629,83.98629,0.6239276,0.7459808,-84.1494,-113.16977,1.8318135,-2.9072742,35.54956,0.00986474289894104,386.73461627960205,65000
87.696,0.47172552,0.027342066,0.27186403,-86.95085,86.95085,0.5281917,0.23826765,-87.115456,-114.53377,2.6397789,-2.5323496,34.504467,0.009951410341262817,436.491703748703,70000
83.4155,0.437895,0.028052717,0.22508362,-82.697075,82.697075,1.5017829,0.15998286,-82.96808,-121.5461,16.246876,-23.724627,167.12733,0.009919108915328979,486.08727049827576,75000
85.66844,0.48189208,0.027930494,0.23025587,-84.90724,84.90724,0.7973806,0.09639478,-85.11723,-123.755424,4.3667765,-3.8849752,60.332314,0.010000398063659668,536.089298248291,80000
87.71152,0.45798135,0.032678965,0.2550646,-86.92674,86.92674,0.64443004,0.28175735,-87.18295,-114.06383,1.6788871,-1.4985007,28.337547,0.009769238519668579,584.9355421066284,85000
85.43193,0.43274114,0.028666196,0.2363346,-84.712524,84.712524,0.7630539,0.42678028,-84.86775,-116.58542,2.0541682,-3.3087702,43.22305,0.009979228067398071,634.831714630127,90000
