training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
7.530046,-0.73906994,-9.2705555,0.47976163,1.0,0.5109642,0.0,-21.67106,-24.01669,2.168053,-1.6917067,57.43303,-0.1958669,-20.926264,-23.249773,0.008432424,0.01592642517089844,79.63212823867798,5000
19.39777,-0.6348282,-8.6887455,0.33430934,1.0,0.7428559,0.0,-35.028824,-41.050346,2.7535572,-2.5776417,76.88871,-0.41015175,-34.471493,-40.452477,0.017657531,0.0013553014278411865,86.40863919258118,10000
26.45258,-0.46013692,-8.556463,0.30123872,1.0,0.7785209,0.0,-46.964165,-55.09601,5.0588055,-3.8719482,105.76172,0.24410033,-46.472553,-54.64506,0.02065247,0.001315927267074585,92.98827910423279,15000
12.989813,-0.6278299,-8.345129,0.24840543,1.0,0.6322137,0.0,-55.900078,-65.392426,10.46634,-4.56451,106.86289,-0.5526577,-55.442513,-65.05086,0.03694772,0.001327869462966919,99.62762951850891,20000
40.20794,-0.49005637,-8.259733,0.22705631,1.0,1.327541,0.0,-60.43143,-72.60059,8.533691,-15.200279,161.41774,0.16625598,-60.064487,-72.32489,0.03852426,0.0013077545166015625,106.16640567779541,25000
19.574312,-0.43023783,-8.157192,0.20142105,1.0,0.6882827,0.0,-65.79357,-78.00921,4.124875,-3.0490875,82.42619,0.00425525,-65.48771,-77.85808,0.04711714,0.0013369987487792969,112.851402759552,30000
66.27385,-0.2716598,-8.179752,0.20706089,1.0,1.4272277,0.0,-66.49481,-82.8135,8.801233,-17.292372,196.92929,-0.6166576,-66.14897,-82.651085,0.053087443,0.0012681363105773926,119.19209146499634,35000
48.166348,-0.29739395,-8.184143,0.20815888,1.0,0.8462708,0.0,-68.05748,-88.59529,7.5021853,-6.599474,121.14015,-0.7352068,-67.70363,-88.48055,0.051562466,0.0013291029453277588,125.83760952949524,40000
32.450764,-0.39076912,-8.112153,0.19016129,1.0,0.916628,0.0,-69.48117,-93.68397,6.9949737,-15.625443,134.81374,-0.20113745,-69.13427,-93.57761,0.04212983,0.001317881727218628,132.4270212650299,45000
75.15801,-0.3521556,-8.114855,0.1908369,1.0,1.1506557,-1.3838655,-70.19406,-100.75334,10.693436,-7.738858,175.01904,-0.18407296,-69.870926,-100.760056,0.07918139,0.0012772541999816894,138.81329536437988,50000
31.878006,-0.36647156,-8.070998,0.17987245,1.0,0.5699163,0.0,-72.05132,-96.756935,4.6964483,-5.801879,86.24586,-0.50865936,-71.79239,-96.66902,0.040317237,0.0014121306896209716,145.873952627182,55000
35.14096,-0.44520226,-8.179912,0.20710073,1.0,1.3273898,0.0,-73.17976,-110.330345,5.0798135,-11.42676,140.51135,0.25191253,-72.957954,-110.50959,0.07224403,0.001354798650741577,152.64794874191284,60000
34.78963,-0.3349576,-8.064599,0.17827275,1.0,0.44194207,-2.1403918,-74.35533,-94.982796,4.15995,-6.3588867,88.27315,-1.0005214,-74.129684,-94.93329,0.061795667,0.001297948408126831,159.13769507408142,65000
38.09256,-0.3530794,-8.131918,0.1951024,1.0,0.6436066,0.0,-73.522484,-108.32596,3.3899987,-4.555822,83.15985,-0.02691874,-73.27855,-108.74019,0.05807202,0.001297104787826538,165.6232225894928,70000
69.49362,-0.40381938,-8.024519,0.16825277,1.0,1.001944,0.0,-75.110504,-108.239006,7.106851,-13.038157,163.86568,0.09088561,-74.89892,-108.32615,0.06860513,0.0013393603324890137,172.32002782821655,75000
42.2471,-0.22241879,-8.006196,0.16367204,1.0,0.44722843,0.0,-73.941696,-105.31288,7.217353,-7.74677,112.593315,0.11498086,-73.73759,-105.349754,0.040285077,0.001324464178085327,178.94235253334045,80000
34.478214,-0.47131684,-8.047332,0.17395584,1.0,0.7454666,0.0,-75.69603,-98.401054,4.982566,-6.0203624,100.25832,-0.19777225,-75.42679,-98.391914,0.045618817,0.0012779033184051514,185.33187294006348,85000
96.88087,-0.37702698,-8.018468,0.16673982,1.0,1.8452842,0.0,-74.82863,-104.78914,23.271114,-42.83203,338.19748,0.43981743,-74.570114,-104.83774,0.1433002,0.0013275529861450194,191.96964192390442,90000
54.84728,-0.39254612,-8.146797,0.19882223,1.0,0.6905375,0.0,-74.43831,-102.08522,18.730251,-14.03843,191.36722,-0.1408351,-74.16409,-102.131714,0.07876733,0.001301901960372925,198.4791555404663,95000
80.93179,-0.20115097,-8.052547,0.17525965,1.0,0.8384719,0.0,-75.34914,-98.41775,7.363579,-8.027424,151.39989,-0.20820916,-75.0981,-98.48821,0.054750636,0.0012352886199951173,204.65560293197632,100000
16.79364,-0.47742105,-8.075885,0.18109429,1.0,0.54930896,0.0,-74.993614,-100.257095,6.4097195,-6.8120375,107.91196,-0.23139063,-74.73886,-100.02589,0.04507941,0.013241876792907715,270.8649933338165,105000
65.214584,-0.2393829,-7.9874473,0.15898466,1.0,1.4693674,0.0,-77.20061,-104.46223,11.833944,-8.28442,163.95493,-0.49924654,-76.97291,-104.46319,0.0685298,0.0012835830688476563,277.2829122543335,110000
59.522964,-0.23677927,-8.139128,0.1969051,1.0,0.5415827,0.0,-76.70501,-98.63847,9.004927,-8.15847,160.6938,-1.1489372,-76.5,-98.62388,0.12237607,0.0012887377262115478,283.7266044616699,115000
82.781075,-0.20568737,-8.064755,0.17831194,1.0,0.88995016,0.0,-76.08723,-99.71116,9.238347,-4.688872,142.34592,0.33971345,-75.878494,-99.69711,0.06986842,0.0012865205764770508,290.15921092033386,120000
16.54195,-0.5313878,-8.093819,0.18557753,1.0,0.965093,0.0,-74.52057,-99.37008,8.721786,-18.256851,147.95961,0.2627027,-74.28412,-99.33322,0.054361675,0.0013433228969573976,296.8758294582367,125000
