training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
4.834234,-0.61868787,-9.5971155,0.56140196,1.0,0.34259894,0.0,-20.089296,-22.585743,1.8053092,-2.812511,59.297035,-0.23221484,-19.319725,-21.805128,0.007414346,0.012393502044677734,61.96752071380615,5000
15.6005535,-0.5855651,-9.072641,0.43028325,1.0,0.55590665,0.0,-34.08127,-38.597454,5.021077,-8.120906,120.45146,1.5646877,-33.41558,-38.00578,0.017349098,0.0007847463607788086,65.89126420021057,10000
21.493607,-0.6684464,-8.752903,0.35034883,1.0,0.80226064,0.0,-44.751034,-50.624138,5.283029,-2.4317858,85.16823,-1.0456218,-44.243282,-50.125546,0.03574713,0.0007902432918548584,69.84248423576355,15000
10.465124,-0.6454258,-8.691707,0.33504957,1.0,1.1442683,0.0,-53.11306,-60.00905,5.052463,-6.6315594,108.34425,-0.5142592,-52.62049,-59.60532,0.033622988,0.0008058261871337891,73.87161922454834,20000
23.39551,-0.61090267,-8.403765,0.2630641,1.0,1.2539583,7.1900854,-57.139847,-67.5364,3.1429229,-3.462638,98.04832,4.551195,-56.760853,-67.21633,0.04011877,0.0007853921890258789,77.798583984375,25000
52.22479,-0.27754217,-8.390106,0.25964957,1.0,1.141541,0.0,-63.223667,-73.754395,8.35729,-4.0255814,121.27451,1.9086609,-62.864166,-73.428055,0.04390673,0.0007436869621276856,81.51702213287354,30000
27.802681,-0.4100458,-8.264089,0.2281451,1.0,1.5778029,3.7317467,-66.19411,-78.17563,5.549012,-9.646266,96.44406,4.7161326,-65.89214,-77.95964,0.03378369,0.0007512714862823487,85.27338647842407,35000
58.55249,-0.27945876,-8.260754,0.22731133,1.0,4.0746546,0.0,-67.15123,-81.84404,27.288063,-11.816032,232.77583,0.91983503,-66.92699,-81.65356,0.061338793,0.0007753448486328125,89.1501145362854,40000
45.323532,-0.52591264,-8.306675,0.23879166,1.0,2.5024147,3.002255,-69.191055,-84.256714,16.775568,-25.797594,318.3161,3.4081838,-68.78155,-84.09711,0.04855477,0.0008143595218658448,93.22191572189331,45000
35.611183,-0.55379367,-8.262686,0.22779426,1.0,1.692889,6.1024957,-68.03569,-86.053696,5.8278894,-10.900655,176.39673,7.7288837,-67.70345,-85.84697,0.0775472,0.0008125309467315674,97.28457403182983,50000
32.37916,-0.7146864,-8.187177,0.20891723,1.0,1.7521443,3.1915894,-69.04663,-86.76973,16.172356,-11.170728,283.8436,3.9614077,-68.76611,-86.86769,0.09689316,0.0007841595649719238,101.2053759098053,55000
43.22158,-0.61200637,-8.127021,0.19387797,1.0,1.593595,0.0,-69.51238,-88.00347,10.1802435,-6.867667,179.10172,1.2177222,-69.15962,-87.82318,0.099226,0.000788888168334961,105.14982223510742,60000
54.60389,-0.7137471,-8.167169,0.20391499,1.0,2.8079767,0.0,-67.11069,-87.50391,13.715143,-7.562775,234.43065,1.099724,-66.83734,-87.37646,0.1074771,0.0007659918785095215,108.97978520393372,65000
34.258415,-0.64187217,-8.20297,0.21286547,1.0,1.9258175,0.0,-67.9536,-88.08518,7.638821,-6.744283,160.12144,6.0032372,-67.66393,-87.96529,0.109912045,0.0007282832145690918,112.62120509147644,70000
63.72205,-0.4447537,-8.201801,0.21257314,1.0,2.2645295,0.0,-69.416824,-88.94867,34.648674,-20.32954,300.17377,0.47132948,-69.089966,-88.835464,0.067079976,0.0007710604190826416,116.47650980949402,75000
66.93118,-0.29485196,-8.202094,0.21264642,1.0,1.6640782,0.0,-69.62619,-88.25182,13.680304,-21.4012,272.67218,-0.93526524,-69.31012,-88.11733,0.13871606,0.0007874236583709717,120.41363167762756,80000
23.112335,-0.6291759,-8.126036,0.19363195,1.0,2.0852277,3.5604963,-69.84755,-89.05811,9.229826,-21.693039,207.15918,4.6161113,-69.478424,-88.96503,0.17126442,0.0008173481464385986,124.50037717819214,85000
33.879517,-0.66446006,-8.159041,0.20188336,1.0,1.5589166,0.0,-71.70555,-88.50214,9.071852,-8.228676,166.83891,0.29143518,-71.41083,-88.45718,0.08649142,0.0008342732429504395,128.6717493534088,90000
86.43004,-0.23374993,-8.152035,0.20013176,1.0,2.410954,0.0,-70.110016,-89.63343,14.082713,-14.063532,270.13074,-0.75022244,-69.90973,-89.699875,0.07544632,0.0008077125549316406,132.71031594276428,95000
45.138763,-0.39747316,-8.108093,0.18914652,1.0,1.046427,0.7248298,-71.93103,-88.45501,4.43782,-6.425759,131.95116,2.1032057,-71.621635,-88.25079,0.062231224,0.0008068695068359375,136.74466681480408,100000
37.94339,-0.47871977,-8.160922,0.20235349,1.0,1.9261242,0.0,-70.51706,-89.47719,12.084696,-7.180068,175.67316,2.9994812,-70.287155,-89.36333,0.05990769,0.00863705563545227,179.92995047569275,105000
72.06171,-0.3258897,-8.097696,0.18654712,1.0,1.3854136,0.017410636,-71.50325,-89.623695,10.79202,-10.360662,156.42995,0.80740696,-71.23642,-89.64303,0.06443346,0.0007967672824859619,183.9137921333313,110000
32.533752,-0.65679634,-8.162334,0.20270655,1.0,2.3799236,0.21836638,-71.78378,-88.8648,14.42876,-8.39955,235.3939,2.3443463,-71.446396,-88.71386,0.06524706,0.0008122835159301758,187.9752128124237,115000
58.471855,-0.34411305,-8.075125,0.18090416,1.0,1.2657881,0.0,-71.530235,-89.04591,7.776828,-9.333067,162.24455,0.25510725,-71.31215,-88.9824,0.08119266,0.0007858860969543457,191.90464663505554,120000
21.88084,-0.7839209,-8.108849,0.18933515,1.0,1.3461304,0.0,-71.731705,-90.031425,9.356807,-8.077285,187.66081,1.2866771,-71.33465,-89.638916,0.06476157,0.0007910924434661865,195.86011266708374,125000
73.208954,-0.47810018,-8.147865,0.1990892,1.0,1.8083682,0.0,-71.46267,-89.46857,20.382841,-16.549723,265.6469,0.66490906,-71.14895,-89.71157,0.114164755,0.0007737076282501221,199.72865390777588,130000
91.25278,-0.29792935,-8.165083,0.20339388,1.0,1.6675321,0.0,-71.61808,-89.18448,12.060333,-21.403887,275.933,1.3515443,-71.22168,-89.103294,0.08526233,0.0007922081470489502,203.6896984577179,135000
24.21166,-0.82501215,-8.138511,0.19675076,1.0,1.9809446,0.0,-69.19188,-89.40106,32.087147,-18.079916,331.65396,3.5313513,-68.8877,-89.056816,0.12082149,0.0008068878173828125,207.72414088249207,140000
25.893353,-0.56427515,-8.103483,0.18799382,1.0,1.2476276,0.0,-71.45581,-88.27018,13.092991,-10.936074,168.39021,1.3320957,-71.12761,-88.143,0.07696737,0.0007337006568908692,211.39264726638794,145000
57.35424,-0.46018738,-8.147453,0.19898647,1.0,1.6331019,2.8322923,-70.6805,-89.5219,12.351539,-10.135673,187.97754,2.351223,-70.40738,-89.33599,0.06808852,0.0007571595668792725,215.17844939231873,150000
119.88715,-0.4471955,-8.070831,0.17983064,1.0,1.6093582,0.0,-71.12384,-88.64144,8.876603,-11.531243,219.24998,-0.5972035,-70.80715,-88.46183,0.12130958,0.0007424455165863037,218.89068055152893,155000
