training/actor/actor_loss,training/actor/distill_loss,training/actor/mse,training/actor/next_ob_flow_loss,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
24.950655,0.1759125,0.17434835,0.75458235,-23.668335,23.668335,0.15986946,-3.8809047,-23.706974,-25.433527,2.1890862,-1.3020487,32.00596,0.01943520607948303,97.176034450531,5000
40.218872,0.20580412,0.20162056,0.6335616,-38.9679,38.9679,0.5489739,-1.5539279,-39.111397,-43.7723,15.584235,-8.850216,125.55326,0.0014230026245117188,104.2910544872284,10000
50.99532,0.20044017,0.19789615,0.5767229,-49.817276,49.817276,0.4428491,-1.3165045,-50.025078,-59.233097,3.9781404,-8.484221,76.561806,0.001421422290802002,111.39817023277283,15000
56.69275,0.17914343,0.17508398,0.54385245,-55.611465,55.611465,1.1559241,-0.9115181,-55.767467,-71.66262,3.2323215,-3.2449543,55.921173,0.0014089403629302978,118.44287610054016,20000
63.35495,0.21313754,0.20680627,0.52680004,-62.188736,62.188736,1.635288,0.44061735,-62.506165,-82.96607,13.709559,-8.519968,150.55696,0.0014156928062438964,125.52134442329407,25000
65.865,0.18945318,0.18568842,0.4333519,-64.86329,64.86329,1.5206264,-0.96588284,-65.15425,-90.00876,11.684956,-5.6933966,101.538574,0.0014145341873168945,132.59402203559875,30000
66.76795,0.17656429,0.17335433,0.4578612,-65.780396,65.780396,1.6570569,-1.4539847,-65.99281,-97.24164,36.204617,-64.77049,377.2057,0.0013989962100982667,139.58900666236877,35000
71.13559,0.18442342,0.1820018,0.45896444,-70.12335,70.12335,0.5644672,0.73178804,-70.34264,-109.81498,7.6399245,-12.91392,91.033226,0.001383765411376953,146.50783729553223,40000
72.42217,0.1828036,0.18107812,0.43044615,-71.44331,71.44331,0.7037014,-6.591502,-71.68519,-117.98578,4.841913,-4.1938195,65.564026,0.0014007064819335938,153.51137685775757,45000
77.66986,0.16558793,0.16305915,0.4073938,-76.7657,76.7657,0.76564693,-3.399232,-76.97513,-119.073395,14.615566,-8.558281,107.91568,0.001465345573425293,160.83810806274414,50000
77.26756,0.17821738,0.17563096,0.41813245,-76.31478,76.31478,0.60186267,-2.8980246,-76.53685,-126.86843,5.5953283,-13.497002,94.00146,0.0013584591388702393,167.63040733337402,55000
78.46405,0.15761189,0.15584216,0.42950875,-77.56171,77.56171,0.5847578,-0.73287666,-77.73272,-122.650826,11.069736,-10.366431,99.34616,0.0013851373672485352,174.55609798431396,60000
80.44745,0.15054062,0.14678922,0.44138905,-79.554436,79.554436,0.8379428,0.21820848,-79.729965,-145.97438,7.180865,-11.514886,88.66625,0.0013811973571777345,181.4620909690857,65000
