training/actor/actor_loss,training/actor/distill_loss,training/actor/mse,training/actor/next_ob_flow_loss,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
23.092575,0.05623893,0.3331315,0.63153946,-21.898645,21.898645,1.1629269,0.046445746,-21.944817,-24.464071,0.96791047,-1.3689408,33.64508,0.07799481649398804,389.97409892082214,5000
34.997772,0.06042217,0.3200004,0.554937,-33.838615,33.838615,2.6734686,0.83212614,-34.110535,-41.589058,3.596551,-2.8406825,69.561874,0.010122576236724853,440.5870363712311,10000
43.949253,0.055289958,0.31143996,0.47102156,-42.92533,42.92533,2.1555674,-2.0411158,-43.26181,-55.489815,2.347144,-2.3965251,46.255417,0.009600855445861816,488.5913624763489,15000
43.339676,0.048498757,0.30207512,0.46437973,-42.39031,42.39031,2.1143415,0.54736286,-42.704502,-65.91667,3.7012947,-3.3904061,79.42729,0.009644822216033936,536.8155190944672,20000
44.792385,0.049448952,0.2763584,0.42815834,-43.869736,43.869736,2.1404648,-0.3637252,-44.261017,-74.18477,4.6655135,-3.8227417,71.58624,0.009560031127929688,584.6156976222992,25000
48.34803,0.053835616,0.2943805,0.4308153,-47.378857,47.378857,1.7682476,0.65883493,-47.7719,-80.66088,1.4626765,-1.4648608,44.924614,0.009464276885986328,631.937127828598,30000
50.827404,0.048881534,0.26744884,0.38168612,-49.9569,49.9569,2.4917696,-1.32951,-50.40834,-85.99848,7.806889,-5.5598187,95.24887,0.007696751308441162,670.4208915233612,35000
51.456482,0.047303528,0.26891324,0.39659387,-50.586853,50.586853,2.2114034,0.25203475,-50.94241,-90.288574,4.199073,-5.77757,75.723694,0.009382178258895873,717.3318009376526,40000
51.824368,0.051817574,0.2820458,0.4139082,-50.892284,50.892284,3.5206048,0.86554855,-51.342453,-93.51514,14.797415,-11.866378,166.70795,0.009703979587554932,765.8517472743988,45000
53.91131,0.046237014,0.28640103,0.3919299,-53.057007,53.057007,1.8610454,-0.22377428,-53.438408,-95.67012,2.6313977,-2.814556,51.235245,0.009715235900878907,814.4279794692993,50000
52.163666,0.049078617,0.25394738,0.3922156,-51.280663,51.280663,2.488463,0.7926138,-51.651993,-98.05914,5.656747,-5.3367853,72.19884,0.009692324495315551,862.8896532058716,55000
54.681942,0.04497734,0.26967198,0.35695478,-53.875214,53.875214,2.8918009,0.3334836,-54.245316,-99.413826,7.7419896,-10.466996,103.92496,0.009813360404968262,911.9564983844757,60000
50.412582,0.047945708,0.29990882,0.40138713,-49.53174,49.53174,1.5421753,1.3496959,-50.01773,-100.84917,2.5394347,-2.9614165,48.47919,0.008469578742980956,954.3044135570526,65000
53.141132,0.047967065,0.30066928,0.3584913,-52.30297,52.30297,1.8055651,0.018435597,-52.793926,-101.75824,2.7128448,-4.279272,62.47718,0.0031909218311309815,970.259030342102,70000
52.77505,0.046707235,0.28712094,0.35715005,-51.95083,51.95083,1.5848885,1.3207337,-52.325665,-102.51142,1.9815261,-1.9322861,50.61446,0.0021459827423095704,980.9889590740204,75000
50.22388,0.045207623,0.2646647,0.36663267,-49.40517,49.40517,1.3267279,-0.08667685,-49.803482,-102.932884,1.2733095,-1.5155797,35.366142,0.002457316970825195,993.2755706310272,80000
51.204704,0.041766357,0.28527844,0.38548696,-50.401554,50.401554,1.8641329,0.27269503,-50.750225,-103.347984,1.6946199,-2.7901247,44.350983,0.00295136775970459,1008.0324168205261,85000
55.004677,0.043531917,0.23840186,0.34049407,-54.228863,54.228863,1.3287067,-2.5582824,-54.6129,-103.67206,2.5967503,-3.8118618,51.302486,0.00944276237487793,1055.246253490448,90000
53.31258,0.045578863,0.27313155,0.3540558,-52.502735,52.502735,1.8357987,-0.33099437,-52.884842,-104.190895,6.1583443,-11.116406,73.26094,0.0044956095695495605,1077.724332332611,95000
54.32388,0.049026445,0.28503928,0.348326,-53.48529,53.48529,1.5151048,1.1700956,-53.94039,-104.25548,7.1898775,-10.422062,104.819305,0.005439689540863037,1104.9227876663208,100000
56.774776,0.041516043,0.25838923,0.38575524,-55.97386,55.97386,1.0804791,1.1747129,-56.32907,-104.3976,1.1435332,-2.0327115,35.721382,0.014245043659210204,1176.1480524539948,105000
53.63475,0.044015683,0.23800099,0.30952033,-52.885075,52.885075,3.5007398,1.6985182,-53.263252,-104.49582,3.2604723,-3.7405689,71.29553,0.0052742881774902346,1202.51952791214,110000
50.3571,0.043611918,0.25397512,0.32227305,-49.59871,49.59871,1.3530741,0.7740245,-50.10356,-103.85435,2.3350096,-1.7450545,41.7615,0.010234040451049805,1253.689769268036,115000
54.689133,0.04242533,0.25575477,0.357624,-53.907257,53.907257,0.8206518,-0.76910925,-54.293003,-104.8398,1.8426507,-1.59483,32.331017,0.010077199792861938,1304.0758056640625,120000
54.943478,0.048175797,0.24445009,0.36308736,-54.098633,54.098633,7.9137745,0.9387597,-54.569035,-104.67976,14.359705,-11.173786,143.62305,0.009848941850662232,1353.3205363750458,125000
52.53078,0.044079416,0.2654695,0.3253989,-51.764587,51.764587,1.1799581,0.27284044,-52.147984,-103.87392,1.5743065,-2.0301564,36.418266,0.009914211177825928,1402.8916294574738,130000
