training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.1388713,-0.8882667,-9.635987,0.5711198,1.0,0.11110548,-9.361473,-21.998186,-23.725647,0.47042474,-0.5745069,14.602184,-7.9299026,-21.202057,-22.95533,0.0011169857,0.014775049686431885,73.87525773048401,5000
3.043777,-0.6671703,-8.847899,0.3740977,1.0,1.5478784,0.0,-37.424114,-40.565823,6.0327926,-4.6256347,95.35098,-3.4953978,-36.84154,-39.964497,0.033374507,0.0013284037113189698,80.51728463172913,10000
75.86587,-0.28823483,-8.633277,0.32044208,1.0,1.1325061,0.0,-48.323067,-53.7423,5.3503046,-5.0551853,170.13144,-4.5450096,-47.85986,-53.273922,0.04091446,0.0013379533290863038,87.2070574760437,15000
37.234596,-0.59422266,-8.214077,0.21564211,1.0,2.3954635,0.0,-54.544937,-65.24608,17.27578,-16.833397,238.99535,-3.327209,-54.175163,-64.886406,0.044806257,0.0012936339855194091,93.67523002624512,20000
42.739388,-0.5050589,-8.189376,0.20946687,1.0,2.434462,0.0,-60.098312,-74.53071,4.568377,-5.0748587,151.83699,-0.26865536,-59.598778,-74.34318,0.098659955,0.0013029725551605225,100.19009637832642,25000
232.73781,0.024413489,-8.215755,0.21606179,1.0,3.4399621,0.89629304,-65.20361,-81.76269,18.124094,-17.692253,360.9228,2.022205,-64.81404,-81.578445,0.10370982,0.0013784343719482422,107.08227515220642,30000
77.21314,-0.24766952,-8.057419,0.17647752,1.0,2.007342,0.0,-68.70213,-88.518486,18.533916,-18.25133,268.285,-0.6446173,-68.38932,-88.40279,0.06592286,0.0013803535461425782,113.984046459198,35000
166.78058,-0.6183734,-8.149252,0.19943613,1.0,6.3623495,0.0,-73.17857,-94.07024,27.89839,-32.369453,501.62646,-0.38906282,-72.92582,-94.009575,0.14874765,0.0013366201877593993,120.66715145111084,40000
133.20389,-0.16241944,-7.942011,0.14762561,1.0,2.8833842,0.0,-70.79037,-98.16111,17.498665,-16.153154,271.19675,-8.561235,-70.551445,-98.13599,0.07176539,0.0012973489284515381,127.15390300750732,45000
62.672523,-0.4678186,-7.961852,0.1525859,1.0,1.7544079,0.0,-75.6895,-101.45958,6.8202486,-7.8051634,176.28487,-1.221994,-75.45005,-101.46517,0.2947173,0.0013848376274108887,134.07809448242188,50000
46.69802,-0.70766646,-7.956582,0.15126856,1.0,1.8790734,0.0,-75.60152,-105.07612,5.3047447,-4.39429,162.64655,0.100680366,-75.24998,-105.14437,0.06811046,0.0014429443836212158,141.29282021522522,55000
