training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.65749633,0.49447536,0.0,-20.13492,-22.939196,4.7304373,-3.729202,69.71239,-0.95116454,-19.349396,-22.16015,0.013707339,0.019883712100982665,99.41857481002808,5000
0.6028701,0.7952111,0.0,-34.17389,-40.620056,7.677195,-6.2953067,104.5166,-1.0125285,-33.52523,-40.020405,0.049390767,0.0013482388019561767,106.1597797870636,10000
0.56028163,1.2703491,0.0,-44.654778,-55.304276,9.031203,-5.8024087,100.76504,-0.6168696,-44.109894,-54.85357,0.049186476,0.0013899191856384277,113.10937905311584,15000
0.5111361,0.7820821,0.0,-53.59296,-65.806564,7.800011,-5.964632,78.04841,-0.37777334,-53.09872,-65.42954,0.03405268,0.0012971709251403808,119.59523892402649,20000
0.52748036,0.66663885,-3.6983795,-61.877216,-73.21105,2.6856842,-2.7765162,40.93993,-3.601175,-61.468464,-72.93693,0.04279285,0.0013018972396850587,126.10473251342773,25000
0.51137924,0.9259871,0.0,-61.76336,-77.9749,7.056097,-3.984264,72.34472,0.20197538,-61.407555,-77.67547,0.05944112,0.0013669480800628663,132.9394769668579,30000
0.4992792,1.28473,0.0,-67.1104,-81.87,17.542065,-9.179838,132.15907,-0.38907033,-66.74541,-81.68785,0.04460669,0.0013653866291046142,139.76641368865967,35000
0.45053995,0.8341971,0.0,-68.650635,-88.06739,4.6127706,-2.876075,61.162907,0.4395795,-68.3466,-87.9479,0.045292977,0.0013855931282043456,146.69438672065735,40000
0.4549108,1.074886,0.0,-70.48325,-92.03487,5.598249,-9.639252,89.2475,0.2819711,-70.16716,-91.919815,0.045485098,0.001379899549484253,153.59388899803162,45000
0.44763625,1.0050218,0.0,-69.382416,-98.270515,4.324949,-5.0250807,65.98681,-0.7322354,-69.03093,-98.25219,0.05077354,0.0013927083015441895,160.55743837356567,50000
0.4792661,0.8019948,0.0,-71.586716,-100.52556,2.7154908,-1.6612273,45.272846,0.30364645,-71.40149,-100.27643,0.050499827,0.001457313585281372,167.84401035308838,55000
0.4744479,0.5967628,0.0,-73.990524,-104.26525,5.743181,-2.4298575,58.335922,-0.16238216,-73.73746,-104.24538,0.06585999,0.0013973925113677978,174.83097672462463,60000
0.4690393,0.791499,0.0,-73.31753,-107.132164,5.2091737,-7.66987,64.063225,-0.4744673,-73.069016,-107.203514,0.04859172,0.0014012113094329834,181.8370406627655,65000
0.45615643,1.2042547,0.0,-73.52175,-101.16551,9.253574,-3.7201965,88.87028,0.17702286,-73.24216,-101.17657,0.08365649,0.0013743085861206055,188.70859503746033,70000
0.4698992,1.228184,0.0,-74.06958,-113.318695,10.888032,-16.226774,142.50314,0.51326233,-73.765015,-113.37027,0.13458313,0.0013411213874816896,195.41420435905457,75000
0.4989987,0.86302847,0.0,-77.56584,-114.5566,5.223737,-1.7546605,54.54499,-0.28426343,-77.25132,-114.69936,0.06230297,0.0013474802494049072,202.15160989761353,80000
0.49766105,0.76178384,0.0,-75.841835,-114.63197,5.463438,-4.740605,62.835503,-0.44600052,-75.58774,-114.77768,0.045106165,0.0013588135719299317,208.94568347930908,85000
0.42581022,2.0705624,0.0,-75.91172,-114.69809,6.32434,-8.371992,125.76667,-2.0551572,-75.72873,-114.88769,0.18759426,0.0013420796394348145,215.65608930587769,90000
0.44282055,0.4969483,0.0,-76.1884,-112.83022,1.8626585,-1.6352648,34.245575,-0.47178176,-76.00808,-113.20073,0.050095916,0.0013056910991668701,222.18454933166504,95000
0.4810351,1.5427606,0.0,-78.22246,-111.92612,11.459023,-13.914949,125.62468,-0.9855516,-78.00219,-112.01189,0.085673116,0.0012795490741729736,228.58229899406433,100000
0.5372355,0.59679747,0.0,-77.30818,-105.18839,3.9142418,-1.507544,34.21331,-0.5603826,-77.1128,-105.24602,0.031387776,0.01685563521385193,312.860479593277,105000
0.43923232,0.6511693,0.0,-77.00096,-105.02421,5.1876755,-4.816312,58.704556,0.11689605,-76.77775,-105.07574,0.051141746,0.001417136287689209,319.9461691379547,110000
0.48114154,0.87514806,0.0,-75.19146,-100.375015,6.7818213,-10.772376,93.7453,-0.43578595,-74.9781,-100.23685,0.07861183,0.0013976716041564942,326.934531211853,115000
0.4558221,0.9295656,0.0,-79.04421,-103.4729,4.461732,-4.572466,80.42866,1.1847826,-78.82224,-103.39411,0.09225991,0.0014529880046844483,334.1994755268097,120000
0.43682975,1.375286,0.0,-76.94287,-99.47963,14.995807,-4.3490167,99.60877,0.54584974,-76.77585,-99.4833,0.045169793,0.001440870428085327,341.40383100509644,125000
0.461412,1.1363201,0.0,-76.82861,-103.41549,3.5018203,-8.291064,74.95016,-0.076816514,-76.66255,-103.42513,0.06909892,0.0014416609764099121,348.6121392250061,130000
0.47269022,1.1427009,0.0,-78.51311,-103.33268,5.459758,-6.183337,74.67036,-0.2206488,-78.2988,-103.43601,0.093424216,0.0014364074230194092,355.7941806316376,135000
0.50435185,1.1673017,0.0,-77.74915,-125.62123,4.794574,-7.774664,82.49482,-0.0963839,-77.580986,-125.96055,0.13806006,0.001427282428741455,362.9305968284607,140000
0.44290864,0.57600164,0.0,-77.23021,-126.126625,4.4846387,-8.75015,61.848442,-0.44056875,-77.00081,-126.392075,0.08151874,0.001469301700592041,370.2771096229553,145000
0.40499744,2.3923364,0.0,-77.8256,-128.6484,12.611054,-22.390543,182.64774,0.64410746,-77.62117,-128.95247,0.07427095,0.0014736516952514648,377.6453757286072,150000
0.40898818,0.86656547,0.0,-76.212944,-101.84712,7.6763825,-4.225766,63.945404,2.061792,-75.96431,-101.86668,0.066622004,0.0014532808303833007,384.9117856025696,155000
0.4477914,0.6934039,0.0,-77.27703,-101.91271,4.297172,-1.7351346,46.70154,0.013939217,-77.117966,-101.93931,0.08563845,0.0014724928855895996,392.27426290512085,160000
0.43716383,1.49158,0.0,-77.05344,-128.0137,61.12501,-64.18064,392.41394,1.3102015,-76.79855,-128.29688,0.07145625,0.0014198264122009278,399.373398065567,165000
0.43288562,1.0265827,0.0,-79.05927,-129.69547,5.248847,-6.131693,59.8419,0.05853787,-78.84353,-129.96364,0.05927443,0.0013955443382263183,406.3511338233948,170000
0.45681596,1.4933151,0.0,-78.92974,-101.354,7.0165334,-12.360228,116.10805,1.2248797,-78.68225,-101.17783,0.1889548,0.0014119485855102539,413.41088032722473,175000
0.40550202,1.9429576,0.0,-77.18288,-101.73343,2.5614333,-3.463342,75.95519,0.2577985,-77.00566,-101.75309,0.13958478,0.0014187387466430665,420.50457763671875,180000
0.40516543,1.7276089,0.0,-77.7542,-97.20103,51.756916,-48.2703,285.0941,0.208925,-77.49303,-97.16853,0.05435262,0.0013983428955078126,427.49629640579224,185000
0.42886484,0.93794084,0.0,-78.34769,-100.04804,3.2811425,-7.4645905,61.199783,0.15146555,-78.150055,-100.01546,0.059009768,0.0013942090034484863,434.4673454761505,190000
0.3941519,0.7390231,0.0,-79.24135,-100.19713,6.6087527,-4.2210517,74.3618,-0.052043706,-79.06759,-100.19852,0.077608384,0.0014642088413238526,441.7884101867676,195000
0.41953164,0.78945696,0.0,-77.29514,-104.53551,5.0131793,-5.3925886,60.517075,0.5168266,-77.08351,-104.57458,0.06961861,0.001432271385192871,448.94977140426636,200000
0.41090518,0.71377385,0.0,-79.13565,-99.51941,9.847363,-12.786574,81.44382,0.23547952,-78.9492,-99.52318,0.07923718,0.016054760694503786,529.2235786914825,205000
0.4164475,0.81197226,0.0,-77.60249,-97.269585,14.178978,-14.020092,114.41306,0.583714,-77.447556,-97.275665,0.06289472,0.0013634765148162842,536.0409753322601,210000
0.37205383,0.69876564,0.0,-80.7972,-98.531815,2.6935503,-5.6959553,49.475243,0.15185854,-80.629776,-98.51692,0.027397847,0.0014189347267150878,543.1356618404388,215000
0.40506434,0.5690924,0.0,-76.52638,-98.21923,6.8319535,-9.569892,68.31601,0.26805696,-76.29413,-98.17644,0.07324634,0.0013498552322387695,549.8849422931671,220000
0.43686143,0.3856454,0.0,-78.92866,-99.36446,2.9194946,-1.8432847,27.37822,-0.03875579,-78.72711,-99.35938,0.03207344,0.0013268964290618897,556.5194284915924,225000
0.44497383,0.7432402,0.0,-78.96924,-98.370995,4.8445816,-5.756443,68.04388,0.0964396,-78.72208,-98.34504,0.10745475,0.0013150356769561767,563.0946102142334,230000
0.45051858,0.73422015,0.0,-75.48938,-98.07959,12.761254,-8.355279,86.287186,0.15798737,-75.23599,-97.991875,0.09662573,0.001340816307067871,569.7987027168274,235000
0.46715152,0.38803345,0.0,-78.386475,-100.1488,3.908084,-2.9884996,40.961185,0.3297125,-78.155396,-100.14826,0.0397418,0.0014128276824951172,576.8628499507904,240000
0.45389473,1.1881902,0.0,-79.17958,-99.91814,14.996853,-18.889612,231.52582,0.09525159,-78.97847,-99.91399,0.5186369,0.001365977144241333,583.6927397251129,245000
0.38174534,0.6310248,0.0,-79.69902,-99.48388,3.1264765,-3.6610858,43.574665,0.3660737,-79.60568,-99.46754,0.04031136,0.0013774677753448487,590.5800824165344,250000
0.40876785,0.68540514,0.0,-78.82687,-99.20054,1.644392,-3.5781553,49.615414,0.007738188,-78.696396,-99.101494,0.09936819,0.0013851779937744141,597.5059759616852,255000
0.4174816,1.0315783,0.0,-78.148994,-98.9184,5.8160653,-6.289669,88.858604,-0.34268805,-77.981995,-98.90728,0.07372023,0.0013797369480133056,604.4046638011932,260000
0.41001657,0.8818302,0.0,-77.568405,-102.28123,5.5224915,-7.621913,74.58422,-0.16657734,-77.32411,-102.30774,0.043759633,0.0013910710334777833,611.3600225448608,265000
0.45605868,1.5913908,0.0,-80.09022,-103.931114,11.776909,-9.505387,89.410675,-0.4157493,-79.83222,-103.97028,0.051818162,0.0014042969703674316,618.3815112113953,270000
0.4193042,0.77619755,0.0,-76.74262,-105.65478,4.1075287,-4.321999,53.32042,0.5274954,-76.54853,-105.69471,0.09803491,0.001397483205795288,625.3689315319061,275000
0.4473924,0.6078985,0.0,-78.94614,-97.877144,3.2631674,-4.401331,41.936714,-0.23187178,-78.723946,-97.854805,0.04718294,0.0013972917556762695,632.355393409729,280000
0.43588907,0.43193036,0.0,-78.98331,-98.721436,2.4281678,-3.7013896,34.71617,0.9493164,-78.79177,-98.658455,0.04697928,0.001398967981338501,639.3502407073975,285000
0.41455293,0.5209672,0.0,-77.67142,-113.40571,1.493422,-1.9057679,28.848476,0.56417656,-77.5265,-113.542274,0.0459339,0.0013744198799133301,646.2223474979401,290000
0.3670084,0.39703566,0.0,-79.69912,-98.387245,4.6209245,-5.246797,71.597824,1.0163292,-79.46832,-98.30644,0.09644,0.0013761256217956542,653.1029796600342,295000
0.40214193,0.49612665,-1.4746449,-80.373245,-113.632095,3.108173,-2.9493275,40.346947,-0.33895072,-80.14854,-113.765114,0.06375599,0.0013726349353790283,659.9661576747894,300000
0.39778703,1.2620097,0.0,-78.98127,-96.76926,18.697083,-10.284897,108.22105,-0.28973454,-78.77791,-96.73969,0.084061205,0.014066237306594849,730.2973525524139,305000
0.4066093,0.40591368,0.0,-77.04872,-118.05135,1.6299701,-2.3192754,27.331856,-0.50219,-76.824585,-118.23741,0.06274382,0.0013895337104797363,737.24502825737,310000
0.37709683,0.82278216,0.0,-79.90029,-97.67479,15.4816475,-12.975257,89.43749,-0.1761494,-79.82401,-97.649925,0.039899282,0.0014261964797973633,744.3760170936584,315000
0.3928594,0.9496614,0.0,-76.61185,-117.80864,17.330372,-9.163215,101.39335,1.0426309,-76.42389,-117.98866,0.06264607,0.0014060906887054443,751.406482219696,320000
0.40353546,0.38779497,0.0,-80.327065,-114.86436,3.6374018,-3.3180416,33.248207,0.08938004,-80.11978,-115.0244,0.034529902,0.0014119061946868898,758.4660172462463,325000
0.37925857,0.44464967,0.0,-78.79981,-97.85066,2.365158,-2.1637492,31.598581,-0.16874655,-78.619194,-97.82779,0.048636902,0.0014098845958709716,765.5154438018799,330000
